ID,UTMX,UTMY,Genus
404,371499.6377,9930023.067,Ateles
405,371198.9808,9929968,Ateles
406,371989,9929784,Ateles
407,371537.3572,9929958.153,Ateles
408,370117.9394,9930006.817,Ateles
409,371346.2467,9929459.426,Ateles
410,373081.388,9930100.003,Ateles
411,371397.6031,9929842.703,Ateles
412,370040.6649,9929998.813,Ateles
413,372070,9929939,Ateles
414,371383.1247,9930282.814,Ateles
415,370447.0356,9929997.995,Ateles
416,370570.5253,9929993.437,Ateles
417,370549.2895,9930082.058,Ateles
418,370572.5566,9930206.235,Ateles
419,371353.3372,9930380.086,Ateles
420,371401.7276,9929558.07,Ateles
421,370556.8381,9930256.178,Ateles
422,370904.858,9930261.292,Ateles
423,370612.6365,9930795.733,Ateles
424,371462.1943,9929826.117,Ateles
425,371113.384,9930677.533,Ateles
426,371906.8666,9929713.915,Ateles
427,371451.1263,9929987.812,Ateles
428,370761.2346,9930448.812,Ateles
429,371810.0772,9929750.824,Ateles
430,370847.0959,9930026.627,Ateles
431,370887.5172,9930007.991,Ateles
432,371928.2757,9929614.997,Callicebus
433,371878.5971,9929492.278,Callicebus
434,371865.031,9929557.102,Callicebus
435,371929.0864,9929524.27,Callicebus
436,371912.2573,9929528.933,Callicebus
437,371859.2729,9929588.072,Callicebus
438,371859.2729,9929588.072,Callicebus
439,371955.2054,9929566.015,Callicebus
440,371890.1664,9929588.129,Callicebus
441,371845.7846,9929655.448,Callicebus
442,371874.4,9929499.1,Callicebus
443,371937.4614,9929556.689,Callicebus
444,371945.1169,9929461.628,Callicebus
445,371946.6608,9929467.012,Callicebus
446,371885.0791,9929584.904,Callicebus
447,371863.0065,9929558.871,Callicebus
448,371877.9952,9929497.347,Callicebus
449,371923.1667,9929552.781,Callicebus
450,371962.8344,9929510.022,Callicebus
451,371869.6519,9929580.829,Callicebus
452,371869.268,9929591.822,Callicebus
453,371956.922,9929698.981,Callicebus
454,371936.3335,9929688.53,Callicebus
455,372343.6751,9929643.423,Callicebus
456,371954.0651,9929512.046,Callicebus
457,371915.0498,9929559.22,Callicebus
458,371877.9426,9929567.152,Callicebus
459,372344.7884,9929635.501,Callicebus
460,371959.1914,9929675.804,Callicebus
461,371918.7877,9929602.71,Callicebus
462,371940.6236,9929762.763,Callicebus
463,371924.4351,9929727.306,Callicebus
464,371931.6655,9929705.503,Callicebus
465,371816.6233,9929660.245,Callicebus
466,371895.1245,9929732.809,Callicebus
467,372336.3027,9929638.261,Callicebus
468,371865.3392,9929493.741,Callicebus
469,371945.3579,9929617.89,Callicebus
470,371970.0689,9929546.029,Callicebus
471,371997.545,9929612.626,Callicebus
472,371997.545,9929619.626,Callicebus
