Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Leontopithecus_rosalia,Cebidae,Leontopithecus,rosalia,12.83,12.67,Isler et al 2008,620,598,1.037,Isler et al 2008,5.4,1.8,1.5,0.83,Garber et al. 2008,182.5,128,75.69,297.6,1.94,Jones et al. 2009,-22.1,1283.2,20.7,1231.5,1476.7,Jones et al. 2009,0.26,Jones et al. 2009,1.44,Pontzer and Kamilar 2006,2.5028,,,,,,,,,,5.4,Sussman et al. 2005
Saguinus_mystax,Cebidae,Saguinus,mystax,11.09,10.99,Isler et al 2008,629.3,538,1.17,Isler et al 2008,7,2.2,2,0.91,Garber et al. 2008,168.5,145,,240,1.93,Jones et al. 2009,-6.23,1948.5,25.6,1532.1,1569.1,Jones et al. 2009,0.21,Jones et al. 2009,1.85,Pontzer and Kamilar 2006,3.5777,,,,,,,25,29.6,27.2,4.7,Kamilar 2006
Nycticebus_coucang,Lorisidae,Nycticebus,coucang,10.13,9.54,Isler et al 2008,679,626,1.085,Isler et al 2008,1,1,1,,primatelit;  Kappeler and Pereira 2003,365,188,181.21,318,1.12,Jones et al. 2009,0.27,2372.9,24.9,1664.9,1740.3,Jones et al. 2009,,,,,,60,0,,,1.037,Plavcan & Ruff 2008,21,70.6,5.4,3,Campbell et al. 2007
Aotus_vociferans,Cebidae,Aotus,vociferans,,,,708,698,1.014,Isler et al 2008,3.3,1,1,1,Garber et al. 2008,,,,265.2,1.02,Jones et al. 2009,1.06,2174.4,25.3,1476.4,1511.6,Jones et al. 2009,,,,,,,,,,,,,,,,
Hapalemur_griseus,Lemuridae,Hapalemur,griseus,14.09,13.99,Isler et al 2008,748,670,1.116,Isler et al 2008,4.4,1,1,1,Kamilar 2006; Nunn & van Schaik 2000,334.58,140,136.29,205.2,1.5,Jones et al. 2009,-19.45,1772.8,19.7,1338.7,1594.7,Jones et al. 2009,0.01,Jones et al. 2009,0.43,Pontzer and Kamilar 2006,3.8108,,,,,1.005,Plavcan & Ruff 2008,,,,,
Aotus_lemurinus,Cebidae,Aotus,lemurinus,16.3,16.25,Isler et al 2008,752.8,716.1,1.051,Isler et al 2008,,,,,,,135,76,405.6,1,Jones et al. 2009,,,,,,,,,,,,,,,,1.171,Plavcan & Ruff 2008,,,,,
Aotus_nancymaae,Cebidae,Aotus,nancymaae,,,,794,780,1.018,Smith and Jungers 1997,3.9,1,1,1,Garber et al. 2008,,,,,1.02,Jones et al. 2009,-4.59,2280.4,26.1,1531.3,1533.1,Jones et al. 2009,,,,,,,,,,,,,,,,
Otolemur_garnettii,Galagidae,Otolemur,garnettii,11.5,10.24,Isler et al 2008,794,734,1.082,Isler et al 2008,,,,,,215.95,132,139.2,204,1.02,Jones et al. 2009,-4.61,679.2,23.6,868.7,1602.4,Jones et al. 2009,0.12,Jones et al. 2009,,,,,,,,1.081,Plavcan & Ruff 2008,21,52.3,9.4,14.5,Campbell et al. 2007
Perodicticus_potto,Lorisidae,Perodicticus,potto,12.42,11.87,Isler et al 2008,802.1,867.9,0.924,Isler et al 2008,2,1,1,,van Schaik et al. 1999; Kappeler and Pereira 2003,354.05,170,149.15,312,1.09,Jones et al. 2009,1.77,1390,24.4,1255.9,1545.5,Jones et al. 2009,0.11,Jones et al. 2009,,,,81,0,,,1.01,Plavcan & Ruff 2008,,,,,
Lepilemur_ruficaudatus,Lepilemuridae,Lepilemur,ruficaudatus,8.25,7,Isler et al 2008,806,803,1.004,Isler et al 2008,1,1,1,,Kappeler 1997,,135.92,119.32,,1.02,Jones et al. 2009,-21.58,578.9,23.9,789.1,1602.6,Jones et al. 2009,0.008,Campbell et al. 2007,,,,,,,,1.179,Plavcan & Ruff 2008,,,,,
Lepilemur_dorsalis,Lepilemuridae,Lepilemur,dorsalis,6.7,6.7,Isler et al 2008,817,923,0.885,Isler et al 2008,1,1,1,1,Kappeler 1997,,,,,1.01,Jones et al. 2009,-13.79,1332.8,20.2,1240.4,1623.7,Jones et al. 2009,,,,,,,,,,,,,,,,
Avahi_occidentalis,Indriidae,Avahi,occidentalis,7.95,,Isler et al 2008,836.3,766.5,1.091,Isler et al 2008,3.5,1,1,1,Kappeler 1997,,,,,1.02,Jones et al. 2009,-17.38,1184.4,24.9,981.5,1557.8,Jones et al. 2009,0.01,Jones et al. 2009,,,,,,,,,,,,,,
Saimiri_sciureus,Cebidae,Saimiri,sciureus,24.14,24.02,Isler et al 2008,855,742.5,1.152,Isler et al 2008,38,4.3,7.9,1.84,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,383.25,161,177.41,324,1,Jones et al. 2009,-0.64,1868.6,25.3,1461.1,1606.7,Jones et al. 2009,0.68,Jones et al. 2009,1.8,Nunn et al. 2003,1.9345,28,0,72,Nunn et al 2003,1.411,Plavcan 2001,,,,2.9,Sussman et al. 2005
Aotus_nigriceps,Cebidae,Aotus,nigriceps,,,,875,1040,0.841,Isler et al 2008,4.1,1,1,1,Garber et al. 2008,,,,,,,-7.72,1807.1,25.2,1432.2,1570.5,Jones et al. 2009,0.105,Campbell et al. 2007,0.708,Campbell et al. 2007,1.9363,60,,,Campbell et al. 2007,,,,,,,
Saimiri_oerstedii,Cebidae,Saimiri,oerstedii,25.07,25.52,Isler et al 2008,897,680,1.319,Isler et al 2008,55.3,10,8.9,0.89,Kamilar 2006,,161,362.93,,1.01,Jones et al. 2009,8.77,2280,26.6,1440,1755,Jones et al. 2009,0.1,Jones et al. 2009,3.4,Nunn et al. 2003,9.5285,,0,20,Nunn et al 2003,,,,,,13.9,Sussman et al. 2005
Lepilemur_edwardsi,Lepilemuridae,Lepilemur,edwardsi,7.25,8,Isler et al 2008,928,934,0.994,Isler et al 2008,2,,,,Kamilar 2006,,,,,,,-17.31,1142,25.5,963.2,1571.2,Jones et al. 2009,0.008,Jones et al. 2009,,,,,,,,,,,,,,
Callicebus_donacophilus,Pitheciidae,Callicebus,donacophilus,,,,991,909,1.09,Smith and Jungers 1997,,,,,,,,,300,1.02,Jones et al. 2009,-15.87,1089.3,24.4,1238.2,1469.1,Jones et al. 2009,,,,,,,,,,,,,,,,
Callicebus_moloch,Pitheciidae,Callicebus,moloch,,,,1020,956,1.067,Smith and Jungers 1997,3.3,1,1,1,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,365,163,58.85,303.6,1.01,Jones et al. 2009,-7.7,1740.3,24.6,1330.5,1530.3,Jones et al. 2009,0.07,"Wright 1984	 1986",0.55,Campbell et al. 2007,1.8423,53.7,33,9,Nunn et al 2003; Kappeler & Pereira 2003,1.079,Plavcan & Ruff 2008,,,,,
Saimiri_boliviensis,Cebidae,Saimiri,boliviensis,,,,1020,750,1.36,Isler et al 2008,60,,,,Kamilar 2006,,157.79,,363.6,1.02,Jones et al. 2009,-11.05,1715,24.3,1417.9,1535,Jones et al. 2009,,,,,,,,,,1.614,Plavcan & Ruff 2008,,,,,
Aotus_trivirgatus,Cebidae,Aotus,trivirgatus,16.85,16.13,Isler et al 2008,1044.4,933.3,1.119,Isler et al 2008,2.9,1,1,1,Garber et al. 2008,271,142,76.21,303.6,1.06,Jones et al. 2009,4.15,1786,24.8,1488.1,1676.3,Jones et al. 2009,0.02,Jones et al. 2009,0.66,Nunn et al. 2003,4.1359,45.5,10,15,Nunn et al 2003; Kappeler & Pereira 2003,1.11,Plavcan & Ruff 2008,,,,,
Callicebus_hoffmannsi,Pitheciidae,Callicebus,hoffmannsi,,,,1090,1030,1.058,Smith and Jungers 1997,,,,,,,,,,1.02,Jones et al. 2009,-3.97,1584.1,25.8,1417.6,1610.4,Jones et al. 2009,,,,,,,,,,,,,,,,
Nycticebus_bengalensis,Lorisidae,Nycticebus,bengalensis,13.49,13.23,Isler et al 2008,1100,1020,1.078,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avahi_laniger,Indriidae,Avahi,laniger,9.86,10.1,Isler et al 2008,1106,1307,0.846,Isler et al 2008,3,1,1,1,Kappeler 1997,365,136.15,149.15,,1.01,Jones et al. 2009,-19.63,1769,19.7,1334.1,1600.1,Jones et al. 2009,0.01,Jones et al. 2009,0.46,Pontzer and Kamilar 2006,4.0766,,,,,0.942,Plavcan & Ruff 2008,,,,,
