Scientific_Name,Family,Genus,Brain_Size_Female_Mean,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,HomeRange_km2
Macaca_assamensis,Cercopithecidae,Macaca,88.3,11300,6900,1.638,
Alouatta_pigra,Atelidae,Alouatta,48.75,11400,6430,1.773,0.3
Symphalangus_syndactylus,Hylobatidae,Symphalangus,122.45,11880,10710,1.109,0.313
Macaca_arctoides,Cercopithecidae,Macaca,99.8,12200,8400,1.452,
Trachypithecus_pileatus,Cercopithecidae,Trachypithecus,91.41,12247,11340,1.08,0.43
Erythrocebus_patas,Cercopithecidae,Erythrocebus,88.86,12400,6500,1.908,28.24
Macaca_sylvanus,Cercopithecidae,Macaca,97.93,14530.3,9625,1.51,2.63
Mandrillus_leucophaeus,Cercopithecidae,Mandrillus,136,17500,12500,1.4,
Rhinopithecus_roxellana,Cercopithecidae,Rhinopithecus,112.7,17900,11600,1.543,24.28
Papio_hamadryas,Cercopithecidae,Papio,133,18000,10300,1.748,17.37
Semnopithecus_entellus,Cercopithecidae,Semnopithecus,104.55,18144,11340,1.6,1.3
Theropithecus_gelada,Cercopithecidae,Theropithecus,124.52,19000,11700,1.624,1.16
Nasalis_larvatus,Cercopithecidae,Nasalis,83.84,19391.8,9729.6,1.993,3.73
Papio_cynocephalus,Cercopithecidae,Papio,156.13,22300,12000,1.858,14.95
Papio_anubis,Cercopithecidae,Papio,152.45,23000,13300,1.729,4.83
Papio_ursinus,Cercopithecidae,Papio,165,29800,14800,2.014,9.12
Mandrillus_sphinx,Cercopithecidae,Mandrillus,146.63,34400,12800,2.688,26.34
Pan_paniscus,Hominidae,Pan,326.25,45000,33200,1.355,27.93
Pan_troglodytes,Hominidae,Pan,350.54,49566.7,40366.7,1.228,10.85
Pongo_pygmaeus,Hominidae,Pongo,337.72,80136.9,36947.6,2.169,3.88
Pongo_abelii,Hominidae,Pongo,341.21,84482.5,41148,2.053,
Gorilla_beringei,Hominidae,Gorilla,480.15,162500,97500,1.667,
Gorilla_gorilla,Hominidae,Gorilla,455.89,170400,71500,2.383,4.03
