Taxon,UTMX,UTMY
Ateles belzebuth,371393.08,9929572.38
Ateles belzebuth,371396.4101,9929611.074
Ateles belzebuth,371370.8124,9929614.385
Ateles belzebuth,371400.858,9929627.658
Ateles belzebuth,371373.0432,9929592.275
Ateles belzebuth,371390.843,9929622.128
Ateles belzebuth,371400.8622,9929608.864
Ateles belzebuth,371395.2996,9929600.019
Ateles belzebuth,371396.4167,9929581.225
Ateles belzebuth,371384.1738,9929585.644
Ateles belzebuth,371374.1427,9929651.974
Ateles belzebuth,371348.5616,9929581.214
Ateles belzebuth,371242.8417,9929552.447
Ateles belzebuth,371265.1036,9929535.869
Ateles belzebuth,371284.0228,9929536.979
Ateles belzebuth,371261.7609,9929553.557
Ateles belzebuth,371274.0049,9929544.715
Ateles belzebuth,371267.3282,9929541.397
Ateles belzebuth,371273.9992,9929570.142
Ateles belzebuth,371265.0991,9929555.768
Ateles belzebuth,371292.9177,9929574.569
Ateles belzebuth,371350.7865,9929585.637
Ateles belzebuth,371324.0771,9929583.42
Ateles belzebuth,371301.8202,9929577.887
Ateles belzebuth,371326.298,9929605.531
Ateles belzebuth,371295.136,9929607.735
Ateles belzebuth,371270.6357,9929680.694
Ateles belzebuth,371214.979,9929730.431
Ateles belzebuth,371170.4584,9929749.215
Ateles belzebuth,371178.247,9929756.955
Ateles belzebuth,371190.489,9929756.958
Ateles belzebuth,371562.2483,9929544.78
Ateles belzebuth,371556.6731,9929592.316
Ateles belzebuth,371551.1086,9929592.315
Ateles belzebuth,371532.204,9929525.979
Ateles belzebuth,371543.3277,9929550.303
Ateles belzebuth,371526.6162,9929629.897
Ateles belzebuth,371537.7401,9929653.116
Ateles belzebuth,371473.1966,9929629.885
Ateles belzebuth,371518.8206,9929653.112
Ateles belzebuth,371556.6578,9929660.859
Ateles belzebuth,371543.3029,9929660.856
Ateles belzebuth,371532.18,9929633.215
Ateles belzebuth,371537.7413,9929647.588
Ateles belzebuth,371507.6891,9929664.164
Ateles belzebuth,371534.4046,9929638.743
Ateles belzebuth,371493.2126,9929702.855
Ateles belzebuth,371515.4364,9929856.528
Ateles belzebuth,371585.5514,9929848.805
Ateles belzebuth,374078.3958,9930133.474
Ateles belzebuth,374152.9613,9930127.963
Ateles belzebuth,371251.55,9930425.816
Ateles belzebuth,371322.7805,9930407.038
Ateles belzebuth,371339.4761,9930398.198
Ateles belzebuth,371357.2641,9930482.222
Ateles belzebuth,371368.3907,9930493.28
Ateles belzebuth,371376.1794,9930501.02
Ateles belzebuth,371361.7152,9930484.434
Ateles belzebuth,371389.5265,9930536.4
Ateles belzebuth,371472.9794,9930606.067
Ateles belzebuth,371576.487,9930575.135
Ateles belzebuth,371635.4656,9930600.575
Ateles belzebuth,371643.2604,9930580.677
Ateles belzebuth,371632.13,9930586.202
Ateles belzebuth,371634.3551,9930589.519
Ateles belzebuth,371635.4627,9930613.841
Ateles belzebuth,371757.9223,9930434.773
Ateles belzebuth,371818.0438,9930324.233
Ateles belzebuth,371834.7399,9930313.182
Ateles belzebuth,371860.4133,9929968.263
Ateles belzebuth,371827.0236,9929979.311
Ateles belzebuth,371796.9738,9929984.832
Ateles belzebuth,371852.622,9929972.684
Ateles belzebuth,371841.4963,9929957.204
Ateles belzebuth,371847.0579,9929970.471
Ateles belzebuth,371808.1041,9929979.307
Ateles belzebuth,371821.4598,9929975.993
Ateles belzebuth,371840.3878,9929937.304
Ateles belzebuth,371829.2555,9929951.673
Ateles belzebuth,371756.9062,9929998.089
Ateles belzebuth,371707.9362,9930006.923
Ateles belzebuth,371687.9053,9930000.285
Ateles belzebuth,371660.0811,9930006.912
Ateles belzebuth,371663.4235,9929990.33
Ateles belzebuth,371612.2224,9930023.484
Ateles belzebuth,371621.1246,9930027.908
Ateles belzebuth,371613.338,9930011.324
Ateles belzebuth,371598.8711,9930006.898
