id,phylo,age,tree,sex,DLM3L,DLM2L,DLM1L,DLP4L,DLM3AW,DLM2AW,MMC,Subfamily,PMM
107101,Nasalis_larvatus,extant,y,M,10.81174,8.016637,7.0549015,6.5639835,10.81174,6.1688365,1.532514664,Cercopithecoid,1.221306696
B218,Nasalis_larvatus,extant,y,M,11.625495,8.1864485,7.2448405,7.671527,11.625495,6.54266,1.604658515,Cercopithecoid,1.067121122
B219,Nasalis_larvatus,extant,y,F,10.31902,8.0553255,6.8998655,6.287443,10.31902,6.281606,1.495539297,Cercopithecoid,1.281176704
HTB 1904(m),Gorilla_gorilla,extant,y,M,18.6,18.4,15.9,12.1,NA,15.6,1.169811321,Hominoid,1.520661157
HTB 1918(m),Gorilla_gorilla,extant,y,M,16.9,16.8,15.8,11.8,NA,15,1.069620253,Hominoid,1.423728814
HTB 1947(m),Gorilla_gorilla,extant,y,M,16.4,19.2,16.8,12,NA,15.4,0.976190476,Hominoid,1.6
HTB 1847(m),Gorilla_gorilla,extant,y,M,19.4,19,16.7,12.8,NA,16.6,1.161676647,Hominoid,1.484375
HTB 1795(m),Gorilla_gorilla,extant,y,M,17.1,17,16.3,11.6,NA,15.8,1.049079755,Hominoid,1.465517241
HTB 2790(m),Gorilla_gorilla,extant,y,M,17.4,18.4,17,12.5,NA,16.3,1.023529412,Hominoid,1.472
HTB 2793(m),Gorilla_gorilla,extant,y,M,16.7,16.8,15.1,11.6,NA,14.3,1.105960265,Hominoid,1.448275862
HTB 2794(m),Gorilla_gorilla,extant,y,M,19.2,18.9,16.5,12.4,NA,16.5,1.163636364,Hominoid,1.524193548
HTB 2795(m),Gorilla_gorilla,extant,y,M,19.4,19.4,17,13.2,NA,15.9,1.141176471,Hominoid,1.46969697
HTB 2801(m),Gorilla_gorilla,extant,y,M,18.6,17.9,15.5,12.5,NA,16.6,1.2,Hominoid,1.432
HTB 2826(m),Gorilla_gorilla,extant,y,M,18.6,18.4,16.7,12.4,NA,15.3,1.113772455,Hominoid,1.483870968
HTB 3392(m),Gorilla_gorilla,extant,y,M,18.4,18.7,15.4,12,NA,15.4,1.194805195,Hominoid,1.558333333
HTB 3397(m),Gorilla_gorilla,extant,y,M,16.1,16.6,15.4,11,NA,14.6,1.045454545,Hominoid,1.509090909
HTB 3410(m),Gorilla_gorilla,extant,y,M,17.5,18.3,16.2,12.4,NA,16.4,1.080246914,Hominoid,1.475806452
HTB 3415(m),Gorilla_gorilla,extant,y,M,17.5,18.4,15.7,12.7,NA,15.1,1.114649682,Hominoid,1.448818898
