row,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
59,"By giving him its highest rating, the American Bar Association confirms what we all know: Judge Garland should serve on the Supreme Court.",FALSE,21183,NA,6/21/16 18:47,FALSE,NA,7.45E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,5726,FALSE,FALSE,NA,NA
60,"Gun violence requires more than moments of silence. It requires action. In failing that test, the Senate failed the American people.",FALSE,113656,NA,6/21/16 15:11,FALSE,NA,7.45E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,62036,FALSE,FALSE,NA,NA
61,What a game and what a series for the @Cavs. Happy to see @KingJames bring it home for Cleveland!,FALSE,71397,NA,6/20/16 3:30,FALSE,NA,7.45E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,35559,FALSE,FALSE,NA,NA
62,Happy Father's Day to all the dads out there. Glad to be spending this one with my family in Yosemite. https://t.co/SaNJgmoIK1,FALSE,28033,NA,6/19/16 22:22,FALSE,NA,7.45E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,5067,FALSE,FALSE,NA,NA
63,"He shook up the world, and the world's better for it. Rest in peace, Champ. https://t.co/z1yM3sSLH3",FALSE,146050,NA,6/4/16 14:05,FALSE,NA,7.39E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,64464,FALSE,FALSE,NA,NA
64,We cannot accept our level of gun violence as the new normal. We must take action to prevent this from happening again & again. #WearOrange,FALSE,43109,NA,6/2/16 15:16,FALSE,NA,7.38E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,18692,FALSE,FALSE,NA,NA
65,"This Memorial Day, I hope you'll join me in acts of remembrance. The debt we owe our fallen heroes is one we can never truly repay.",FALSE,39223,NA,5/30/16 13:00,FALSE,NA,7.37E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,16267,FALSE,FALSE,NA,NA
66,"Today, I join all Americans in honoring 13 officers who went beyond the call of duty to save the lives of strangers. https://t.co/OufzQ70ovH",FALSE,24494,NA,5/16/16 17:47,FALSE,NA,7.32E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,5321,FALSE,FALSE,NA,NA
67,To my 5th grade teacher Ms. Mabel Hefty and the educators who inspire our young people every single day: Thank you. https://t.co/fz2ij8daBg,FALSE,64680,NA,5/3/16 18:12,FALSE,NA,7.28E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,14241,FALSE,FALSE,NA,NA
68,"Today, the US joined some 170 nations to sign the Paris Agreement - an historic step this Earth Day to protect the one planet we've got.",FALSE,26897,NA,4/22/16 17:44,FALSE,NA,7.24E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,8960,FALSE,FALSE,NA,NA
69,"Thank you, Adrianne, for being Boston Strong. Terror and bombs can't beat us. We carry on. We finish the race! https://t.co/55hmcsCHbJ",FALSE,18654,NA,4/19/16 0:18,FALSE,NA,7.22E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,5705,FALSE,FALSE,NA,NA
70,"Congrats to the @Warriors, a great group of guys on and off the court. If somebody had to break the Bulls' record, I'm glad it's them.",FALSE,41929,NA,4/14/16 5:00,FALSE,NA,7.20E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,18910,FALSE,FALSE,NA,NA
71,"Big night of basketball - @Warriors chasing 73 and a farewell for an all-timer, @KobeBryant. NBA fans feeling like: https://t.co/hvno2ZO5b0",FALSE,55281,NA,4/14/16 1:01,FALSE,NA,7.20E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,32012,FALSE,FALSE,NA,NA
72,Proud to designate the Belmont-Paul national monument for women's equality. Let's keep up their fight with #EqualPay for women today.,FALSE,13030,NA,4/12/16 14:46,FALSE,NA,7.20E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,4580,FALSE,FALSE,NA,NA
73,Congrats SpaceX on landing a rocket at sea. It's because of innovators like you & NASA that America continues to lead in space exploration.,FALSE,50331,NA,4/8/16 23:22,FALSE,NA,7.19E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,17496,FALSE,FALSE,NA,NA
74,Nobody should have to choose between losing a paycheck & caring for their family. I applaud @NYGovCuomo for taking a big step on paid leave.,FALSE,22517,NA,4/4/16 16:29,FALSE,NA,7.17E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,6652,FALSE,FALSE,NA,NA
75,"Thank you for your leadership @RepHalRogers. This epidemic doesn't discriminate between red or blue, so it's up to all of us to do our part.",FALSE,4292,RepHalRogers,3/29/16 17:45,FALSE,7.15E+17,7.15E+17,550401754,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,1141,FALSE,FALSE,NA,NA
76,"From my family to yours, Happy Easter, and we wish everyone celebrating a blessed and joyful day. https://t.co/fNvcihSmYB",FALSE,134769,NA,3/27/16 13:39,FALSE,NA,7.14E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,34946,FALSE,FALSE,NA,NA
77,"Que bolo Cuba? Just touched down here, looking forward to meeting and hearing directly from the Cuban people.",FALSE,63600,NA,3/20/16 20:22,FALSE,NA,7.12E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,34072,FALSE,FALSE,NA,NA
78,A great example of how tech can make our democracy stronger. Thanks for answering the call to serve. https://t.co/dFU57cuxo8,FALSE,4969,NA,3/17/16 22:52,FALSE,NA,7.11E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,1519,FALSE,FALSE,NA,NA
79,Proud to nominate Judge Merrick Garland to the Supreme Court. I ask Senators to meet their constitutional duty and give him a fair hearing.,FALSE,34727,NA,3/16/16 16:30,FALSE,NA,7.10E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,12194,FALSE,FALSE,NA,NA
80,"Looking forward to discussing more ways we can modernize government so it's as smart and dynamic as America itself. See you soon, Austin.",FALSE,5713,POTUS,3/11/16 17:48,FALSE,7.08E+17,7.08E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,1971,FALSE,FALSE,NA,NA
81,Seniors can now apply for Social Security benefits online: https://t.co/jPEHLkNxfk,FALSE,3074,POTUS,3/11/16 17:40,FALSE,7.08E+17,7.08E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,1158,FALSE,FALSE,NA,NA
82,Nearly 1 in 3 American families struggle to afford diapers. We're working with the private sector to help fix this. https://t.co/fxvdOCFeET,FALSE,4248,POTUS,3/11/16 17:37,FALSE,7.08E+17,7.08E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,1869,FALSE,FALSE,NA,NA
83,"Immigrants can now apply online to renew their green cards faster, and prep for the citizenship civics test online.",FALSE,4633,POTUS,3/11/16 17:33,FALSE,7.08E+17,7.08E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,2190,FALSE,FALSE,NA,NA
84,We've cut the time it takes students to apply for financial aid by two-thirds thanks to a simplified FAFSA form: https://t.co/WDD1UrSXIR,FALSE,3830,POTUS,3/11/16 17:29,FALSE,7.08E+17,7.08E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,1500,FALSE,FALSE,NA,NA
85,"At #SXSW, I'll make the case that tech and innovation can make government work better for everyone. Here's how it's working better already:",FALSE,8051,NA,3/11/16 17:28,FALSE,NA,7.08E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,2535,FALSE,FALSE,NA,NA
86,"Happy #InternationalWomensDay! When women are free to pursue their dreams, nations are more safe, more secure, and more prosperous.",FALSE,37654,NA,3/8/16 21:54,FALSE,NA,7.07E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,20400,FALSE,FALSE,NA,NA
87,"Welcome back to Earth, @StationCDRKelly! Your year in space is vital to the future of American space travel. Hope gravity isn't a drag!",FALSE,41863,NA,3/2/16 18:01,FALSE,NA,7.05E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,11863,FALSE,FALSE,NA,NA
